Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
100954761298205,frontline.mk,frontline.mk,≤100
192483774872658,Демократи,Демократи,≤100
251107349152220,Горан Герасимовски,Goran Gerasimovski,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
152995591517845,Novatv Web,Novatv Web,≤100
102860779377395,Само кажувам,Само кажувам,≤100
324459714339171,Civil MK,Civil MK,≤100
461034264336817,24инфо.мк,24инфо.мк,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
207681736096529,Љупчо Пренџов / Ljupco Prendjov,Љупчо Пренџов,≤100
287369438092961,Бојан Стојаноски,Бојан Стојаноски,≤100
489378444428334,Brif.mk,Brif.mk,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
