Page ID,Page name,Disclaimer,Amount spent (KES)
600979883334883,Hon. Zaheer Jhanda Mp Nyaribari Chache,Hon. Zaheer Jhanda Mp Nyaribari Chache,314
100835685957727,PRO PEACE KENYA,Brenda Kananu,188
110408975208360,Talking about matters,Well Made Strategy LLP,≤100
344924819231181,"Hon. Rahab Mukami, Nyeri County Women Rep",Rahab Mukami Wachira,≤100
181477995294794,SYSPRO Global,These ads ran without a disclaimer,≤100
100146899431342,Nairobi Leaks,Peris Wambui Mugi,≤100
693849871003458,KENYA HOT TODAY,Peris Wambui Mugi,≤100
105833652399018,Maina Karobia,Mwangi Godfrey Maina,≤100
246999515773477,Siasa Lab,Peris Wambui Mugi,≤100
1692208237695305,Button Badges,George Kingori Warui,≤100
344115315677504,This Is Laikipia,This Is Laikipia,≤100
100321965888531,Mrembo na Kazi,Samuel Mwangi,≤100
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,≤100
100241935070844,Busara Empowerment,These ads ran without a disclaimer,≤100
104961559198815,Riogi,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
105898939096628,Domani Media,These ads ran without a disclaimer,≤100
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100
102838882271105,NovelReader,These ads ran without a disclaimer,≤100
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,≤100
