Page ID,Page name,Disclaimer,Amount spent (GTQ)
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,192
111135201593853,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,149
196258110831945,Partido Valor,Partido Valor,≤100
102762215788405,VOS.gt,VOS.gt,≤100
436246383083297,TODOS,TODOS,≤100
268285610002238,FCN Nación,FCN Nación,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,≤100
110582257361172,Partido Azul,Partido Azul,≤100
110226594945647,Partido BIEN,Partido BIEN,≤100
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,≤100
104363285138486,Nosotros Guatemala,Partido Político Nosotros,≤100
116255971414800,Política Migración,Epifania Garcia,≤100
119274074432076,Ciudad Metrópolis,Ciudad Metrópolis,≤100
104069167998061,Noticias La Reforma S.M.,Jennifer Lopez,≤100
110198674046882,Noticias San Cristóbal Cucho,Jennifer Lopez,≤100
122577984102328,Cotilleo,Cotilleo,≤100
1979136665715746,Shop502,Shop502,≤100
114466183616195,Noticias Ayutla,Jennifer Lopez,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
107186558438030,GT Noticias Guate,GT Noticias Guate,≤100
100552105023362,Noticias el Tumbador,Jennifer Lopez,≤100
101559144921198,Noticias San Pedro Sacatepéquez,Jennifer Lopez,≤100
101555919274873,Mi Familia,Mi Familia,≤100
281554395331686,República,"Republica GT, S.A.",≤100
103892081351211,Noticias Catarina S.M.,Jennifer Lopez,≤100
113863513676957,Noticias San Rafael Pie De La Cuesta,Jennifer Lopez,≤100
468114850661437,Noticias guate,Noticias guate,≤100
101372268406640,Unión Republicana,Unión Republicana,≤100
114098550320514,Noticias La Blanca S.M.,Jennifer Lopez,≤100
104802371498661,Armando Paniagua,Armando Paniagua,≤100
103267651414497,Noticias Esquipulas Palo Gordo,Jennifer Lopez,≤100
103979662614836,Lewis Logan-Podemos Escuintla,Jose Acner  Cano Canales,≤100
103696968775786,Diestra La Revista,Epifania Garcia,≤100
142556265766634,Guatemala Visible,Guatemala Visible,≤100
103134718094665,Noticias San Pablo S. M.,Jennifer Lopez,≤100
104089457996473,Noticias Malacatán,Jennifer Lopez,≤100
1612828795636861,Movimiento Semilla,Movimiento Semilla,≤100
161800283848513,CREO,CREO,≤100
304499560287545,Mariano Portillo,These ads ran without a disclaimer,≤100
103769008029892,Noticias San Marcos,Jennifer Lopez,≤100
102359978173169,Noticias San Lorenzo S.M.,Jennifer Lopez,≤100
164054510913858,Mazatenango Informátivo,Mazatenango Informátivo,≤100
100787838332962,Noticias San José el Rodeo,Jennifer Lopez,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
1552532851481889,Buckner Guatemala,Buckner Guatemala,≤100
