Page ID,Page name,Disclaimer,Amount spent (VEF)
148231808588187,Gatorade Venezuela,an advertiser in Venezuela,250000
11449543593,Carlos Ocariz,an advertiser in Venezuela,250000
564188034075673,Roberto Enriquez,an advertiser in Venezuela,220000
106883638833589,El Cambio Posible,These ads ran without a disclaimer,≤100
31121558686,BBVA Careers,These ads ran without a disclaimer,≤100
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100
1594044310858453,Caring | Church of Jesus Christ,These ads ran without a disclaimer,≤100
304247300393,Juan Pablo Guanipa,an advertiser in Venezuela,≤100
333721726763601,Darwin Gonzalez,an advertiser in Venezuela,≤100
611273482414708,Un papá cursi,These ads ran without a disclaimer,≤100
