Page ID,Page name,Disclaimer,Amount spent (TND)
102675465987487,برهان الدين الزغلامي  Zoughlami Borhen Eddine,حلمي بن محمد دليقة,≤100
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,Instance Supérieure Indépendante pour les Élections - ISIE,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
562060647164742,IIDebate - International Institute of Debate,Rafik Akili,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
1203448066354055,"National Democratic Institute, NDI-Tunisie",These ads ran without a disclaimer,≤100
316496640057,7iber,These ads ran without a disclaimer,≤100
101907775761859,الشرق رياضة,These ads ran without a disclaimer,≤100
111491464801745,Learn English with Riadh,These ads ran without a disclaimer,≤100
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100
194562360560959,Mada Center Qatar,These ads ran without a disclaimer,≤100
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100
