Page ID,Page name,Disclaimer,Amount spent (JPY)
1904070096535109,スマート選挙,株式会社センキョ,10369
475681929154100,国連UNHCR協会,国連UNHCR協会,2212
853050658125901,マイリノ,These ads ran without a disclaimer,1758
428707860616752,文京区議会議員えびさわけいこ,えびさわけいこ事務所,1382
651455718373362,ハイクラスに特化した転職支援『転機』,These ads ran without a disclaimer,776
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,529
103914976352692,選挙ドットコム,イチニ株式会社,470
104480918173191,かず｜慶應卒起業家,These ads ran without a disclaimer,394
296703483713248,【久喜市議会議員】新井けん応援ページ,Ken Arai,301
106268154210924,パーソルチャレンジ株式会社,These ads ran without a disclaimer,280
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,180
341085439782585,富田けんじ（立憲民主党＠練馬）,Kenji Tomita,166
1454796194806512,文京区議会議員 海津 敦子 かいづあつこ,海津敦子,147
100789405705259,神奈川県選挙管理委員会,株式会社旭広告社,≤100
103139519393659,高際みゆき｜初の女性区長と豊島を高める会,初の女性区長と豊島を高める会,≤100
333132350224969,わたなべひろとしを応援する東京都中央区区民の会,Joichi Saito,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
115247946520017,電波オークションを実現する会,Mitsumasa Kato,≤100
112647271461061,えりアルフィヤ,自由民主党 千葉県第五選挙区支部,≤100
936815776403425,Yokosuka Council on Asia-Pacific Studies - YCAPS,Japan US Military Program (JUMP),≤100
259163764160829,FoE Japan,FoE Japan,≤100
676655469036670,松下政経塾,松下政経塾,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
289931618238873,法輪功は素晴らしいですが、なぜ迫害されたのか,Luu Nga,≤100
108798641595010,新原美術　東京店,These ads ran without a disclaimer,≤100
175812309668726,リスジョブ,These ads ran without a disclaimer,≤100
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,≤100
843900165658829,신세계푸드,These ads ran without a disclaimer,≤100
102176002421493,apoxied,These ads ran without a disclaimer,≤100
