Page ID,Page name,Disclaimer,Amount spent (UYU)
721629447857727,567 El Espacio,Partido por la Victoria del Pueblo - Espacio 567 - Frente Amplio,109
225968600759645,Andrés Lima,Andrés Lima,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Nuñez,≤100
2332750643467917,Yamandú Costa,Espacio 2040,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
221058441299559,Arte Manzano,These ads ran without a disclaimer,≤100
109929545447894,Nutra Mais,These ads ran without a disclaimer,≤100
101375582509907,Juan Barahona,These ads ran without a disclaimer,≤100
1374723796115345,Glashütte Original,These ads ran without a disclaimer,≤100
409388396198516,Freeda ES,These ads ran without a disclaimer,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
