Page ID,Page name,Disclaimer,Amount spent (HNL)
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
1666416303574469,Oved Lopez,Oved Lopez,≤100
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
138641796219203,Aves Honduras - ASHO,Aves Honduras - ASHO,≤100
109580408013707,Francisco Flores,Francisco Miguel Flores Guifarro,≤100
299421606919366,Teledifusora Insular,These ads ran without a disclaimer,≤100
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
