Page ID,Page name,Disclaimer,Amount spent (TWD)
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),≤100
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,≤100
211730475524462,大陸委員會,大陸委員會,≤100
693907914395620,良杯製所 Oolab,良杯製所 Oolab,≤100
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,≤100
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,≤100
219315794887869,聯合報,聯合報股份有限公司,≤100
137894879588198,民進黨青年部,民進黨青年部,≤100
106801464127093,目目非營利 MUVE NPO,目目非營利,≤100
152472278103133,賴清德,賴清德,≤100
992400240827954,謝金河,These ads ran without a disclaimer,≤100
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,≤100
186593071836,商業周刊（商周.com）,商業周刊（商周.com）,≤100
1629474157289221,小牛頓,小牛頓科學教育有限公司,≤100
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,≤100
203399583446203,Montagut Taiwan 台灣夢特嬌粉絲團,These ads ran without a disclaimer,≤100
401843085061,台電電力粉絲團,台電,≤100
179608846121604,富達投信 Fidelity International - Taiwan,富達投信 Fidelity International - Taiwan,≤100
286487218798,遠見雜誌,遠見雜誌,≤100
104517709143455,非綠大初選,非綠大初選,≤100
127628276929,天下雜誌,天下雜誌,≤100
188358792124,聯經出版,聯經出版,≤100
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,≤100
276861822357066,高金素梅(吉娃斯．阿麗),高金素梅(吉娃斯．阿麗),≤100
139995871775,中國文化大學推廣教育部,These ads ran without a disclaimer,≤100
524174577607220,U12世界盃少棒賽,U12世界盃少棒賽,≤100
103701182092044,李崇義/Charles Lee,These ads ran without a disclaimer,≤100
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,≤100
114159468223784,張建焜-齊心出發 照亮青商,張建焜-齊心出發 照亮青商,≤100
177161918975981,基督教芥菜種會,基督教芥菜種會,≤100
390569611008641,願景工程 Vision Project,願景工程基金會,≤100
158025223269,今周刊,今周刊,≤100
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,≤100
235679595900,民視新聞,民視新聞,≤100
1670897169695096,PackAge+ 配客嘉,配客嘉股份有限公司,≤100
587400394604351,醫療財團法人南迴基金會,醫療財團法人南迴基金會,≤100
129452013855801,RITE,RITE,≤100
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,≤100
107478432346054,郭台銘+1,郭台銘+1,≤100
109957758121761,PinMed-24/7預約你的看診醫師,PinMed-24/7預約你的看診醫師,≤100
400145446758898,Real Nature 瑞威天然平衡寵糧,These ads ran without a disclaimer,≤100
226660410787355,民視體育新聞,民視新聞,≤100
791870507594526,利樂創新界,利樂創新界,≤100
171759036215066,創世紀不動產教育訓練中心,創世紀不動產教育訓練中心,≤100
119282744754924,台灣人權促進會 Taiwan Association for Human Rights,台灣人權促進會 Taiwan Association for Human Rights,≤100
101650542616972,Ecotopia 和田生活,These ads ran without a disclaimer,≤100
103690828278110,CTwant周刊王,CTwant周刊王,≤100
1503745219913314,"孫大千Sun, Ta-Chien","孫大千Sun, Ta-Chien",≤100
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,≤100
436843193180529,Unipapa,Unipapa,≤100
115469883546400,風睿能源 Synera Renewable Energy,風睿能源,≤100
105692292105892,黃士修,黃士修,≤100
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,≤100
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,≤100
105742975534267,吳明宜,吳明宜,≤100
1506514762998978,花王微笑心生活,These ads ran without a disclaimer,≤100
239512030682497,第一手星聞,民視新聞,≤100
199044740213961,為台灣而教 Teach For Taiwan - TFT,Teach For Taiwan 為台灣而教,≤100
607361066371883,自由台灣 Free Taiwan,自由台灣 Free Taiwan,≤100
350951704972904,大都會文化．大旗出版社,These ads ran without a disclaimer,≤100
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),財團法人台灣永續能源研究基金會,≤100
496684637111616,陳偉杰 Chen Wei-chieh,These ads ran without a disclaimer,≤100
148513668543221,地球公民基金會,地球公民基金會,≤100
1621835121361449,陳超明-阿明哥粉絲團,陳超明-阿明哥粉絲團,≤100
104624290080479,張育美,張育美,≤100
100423742875331,JHY 律師工作室,JHY 律師工作室,≤100
101379699115840,異軍Game Show,These ads ran without a disclaimer,≤100
124607270893138,三民補習班（三民輔考）,These ads ran without a disclaimer,≤100
368820985964,台灣伴侶權益推動聯盟,台灣伴侶權益推動聯盟,≤100
112947931870360,東森財經新聞台,These ads ran without a disclaimer,≤100
110080684561971,大俠武林-投資筆記,These ads ran without a disclaimer,≤100
1964471667110397,謝金河看世界,These ads ran without a disclaimer,≤100
110415697861629,大俠武林,These ads ran without a disclaimer,≤100
103584411849006,Nhà sách Việt - Sách Việt giá rẻ tại Đài Loan,These ads ran without a disclaimer,≤100
