Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
100954761298205,frontline.mk,frontline.mk,≤100
152995591517845,Novatv Web,Novatv Web,≤100
192483774872658,Демократи,Демократи,≤100
102860779377395,Само кажувам,Само кажувам,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
461034264336817,24инфо.мк,24инфо.мк,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
287369438092961,Бојан Стојаноски,Бојан Стојаноски,≤100
324459714339171,Civil MK,Civil MK,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
101694005032101,Bojan Maricik,Bojan Maricik,≤100
104824452103962,Xhemail Çupi,Xhemail Çupi,≤100
1492262604426519,Орце Ѓорѓиевски - Orce Gjorgjievski,Орце Ѓорѓиевски,≤100
112622660371058,Гласни идеи,Гласни идеи,≤100
139287259432606,Artan Grubi,Bashkimi Demokratik për Integrim - BDI,≤100
108888435328642,Glasot na Evropa,These ads ran without a disclaimer,≤100
