Page ID,Page name,Disclaimer,Amount spent (CHF)
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,161
191859734164694,Pro Infirmis,Pro Infirmis,104
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,≤100
15733998334,FDP,FDP,≤100
102014399307738,Direkt,direkt,≤100
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,≤100
97220294896,SP Schweiz,SP Schweiz,≤100
1659576160959696,Guido Fluri Stiftung,Guido Fluri Stiftung,≤100
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,≤100
145845125487053,"Jürg Grossen, Präsident Grünliberale",Jürg Grossen,≤100
48980326364,Public Eye,Public Eye,≤100
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Stadt Bern,≤100
18087904183,PLR,PLR,≤100
103915262545181,KMU geprüft,KMU geprüft,≤100
921336971288655,Nagra,Nagra,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
97721121385,Public Eye,Public Eye,≤100
220197041662012,Kleinbauern-Vereinigung / Petits paysans,Kleinbauern-Vereinigung VKMB,≤100
291359247729208,PS Suisse,PS Suisse,≤100
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,≤100
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100
1483343695307824,Campax,Campax,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
125466200895962,Valentin Landmann,Sven Kunz,≤100
102733401616452,Tanja Miljanović in den Nationalrat,Tanja Miljanović,≤100
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,≤100
132497703498525,Pro Velo Schweiz,Pro Velo Schweiz,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
467503303605894,PLR Castel San Pietro,PLR Castel San Pietro,≤100
135816069903817,Dirk Kreuter,These ads ran without a disclaimer,≤100
1393128654260543,talendo,These ads ran without a disclaimer,≤100
102718129475079,Ambil Sandy,Sandy Iwan Ambil,≤100
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100
490059521190894,Cercle démocratique,Barry Lopez,≤100
107005552383474,Umweltecke,These ads ran without a disclaimer,≤100
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,≤100
333293986861604,Jean Richard MusiK,These ads ran without a disclaimer,≤100
112511361680353,Life at Rimac,These ads ran without a disclaimer,≤100
344556287396,Penguin Bücher,These ads ran without a disclaimer,≤100
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100
491603277588348,VTA Group,These ads ran without a disclaimer,≤100
358660427653741,UBS Formula 1,These ads ran without a disclaimer,≤100
763722197034246,En Développement,These ads ran without a disclaimer,≤100
845293775587671,Statista France,These ads ran without a disclaimer,≤100
176508225770197,Austrian Master Classes,These ads ran without a disclaimer,≤100
102964102556890,Bettermanly - Magazine page 2,These ads ran without a disclaimer,≤100
1457915704536726,Advokatfirmaet Magnus Legal,These ads ran without a disclaimer,≤100
