Page ID,Page name,Disclaimer,Amount spent (PKR)
182192512111720,Sardar Mohsin Abbasi,Sardar Mohsin Abbasi,1788
111378401865271,Jawad Sohrab Malik,Armghan Virk,744
315863402653597,Prime Minister’s Youth Programme,Prime Minister’s Youth Programme,467
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,292
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,250
543755195637715,Mian Aslam,Mian Aslam,183
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,115
327723594738107,Meme Lord From Pakistan,These ads ran without a disclaimer,≤100
467252070142548,Ch Mustansar Ali Gondal,Ch Mustansar Ali Gondal,≤100
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,≤100
109493084543028,Four Corners with Tarar,NEXT TV,≤100
133648753466105,Group Development Pakistan,Group Development Pakistan,≤100
1814850698741724,Senator Mohsin Aziz,Senator Mohsin Aziz,≤100
105690462092880,MM News Videos,MM Digital PVT LTD,≤100
435092019877794,Hazara Quami Mahaz Pakistan - HQM,Hazara Quami Mahaz Pakistan - HQM,≤100
101269169346393,Barrister Abdullah Mumtaz Kahloon,Barrister Abdullah Mumtaz Kahloon,≤100
2107858016193986,Voice of Sindh,Voice of Sindh,≤100
115445627811504,Muhammad Kashif Mairaj,Muhammad Kashif Mairaj,≤100
117245297940276,Imtiaz Minhala,Muhammad Arslan Haider,≤100
124473380937123,勵馨基金會 The Garden of Hope Foundation,These ads ran without a disclaimer,≤100
114195723673736,Top News,These ads ran without a disclaimer,≤100
107801948674316,BBU News WORLD,BBU NEWS WORLD,≤100
240488586026340,"SINA Health, Education & Welfare Trust","SINA Health, Education & Welfare Trust",≤100
102532432516110,Rana Hamid Nawaz,Rana Hamid Nawaz,≤100
113578877760214,Shahid Khan,Shahid Khan,≤100
101371932720459,Malik Mohtisham Raza KhoKhar- مرد بحران,Ahsan mujtaba,≤100
100435805831644,Tanveer Ahmad Virk PP141,Jahanzaib Naveed,≤100
108542722113005,Taniya,These ads ran without a disclaimer,≤100
361971188258443,Syed Tariq Mahmood ul Hassan,Syed Tariq Mahmood ul Hassan,≤100
187258925420723,Leading Lawyers,Leading Lawyers,≤100
101737024836683,Anjuman-E-Tajran انجمن تاجران,Mujahid Maqsood Butt,≤100
100985089430508,Ch Mumtaz Akhtar kahloon,Ch Mumtaz Akhtar kahloon,≤100
109676458413003,Akhlaq Ahmad Bidani 0fficial PP288,Akhlaq Ahmad Bidani 0fficial PP288,≤100
327514780955583,Dr Umair Haroon,Dr Umair Haroon,≤100
114978670833586,Faizan Khan Nazim,These ads ran without a disclaimer,≤100
101182582878006,Tehreek e Awam Pakistan,These ads ran without a disclaimer,≤100
100800439394003,callme.emaanx,These ads ran without a disclaimer,≤100
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100
168508139975104,CRI Türkçe,These ads ran without a disclaimer,≤100
330760764494579,Haji Shabbir Iqbal Australia International Student Educational  Migration,These ads ran without a disclaimer,≤100
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
