Page ID,Page name,Disclaimer,Amount spent (CHF)
1439209716323593,UDC Ticino,UDC Ticino,≤100
97220294896,SP Schweiz,SP Schweiz,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
113814477835,Piratenpartei Schweiz,Piratenpartei Schweiz,≤100
102014399307738,Direkt,direkt,≤100
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100
230522120377463,FDP Allschwil-Schönenbuch,FDP Allschwil-Schönenbuch,≤100
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
100345702834585,All Out Deutschland,All Out,≤100
169042736456594,All Out,All Out,≤100
104755129093222,Vox Natio,Tobias Hauser,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,≤100
113821883316185,Faktischversichert,These ads ran without a disclaimer,≤100
122276294503722,Viessmann Sport,These ads ran without a disclaimer,≤100
