Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
324459714339171,Civil MK,Civil MK,≤100
461034264336817,24инфо.мк,24инфо.мк,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
971176269757392,Дома,Институт за комуникациски студии ИКС / Institute of Communication Studies,≤100
251399011616110,Portalb,Portalb.mk,≤100
114716014845582,Портал,Портал,≤100
192483774872658,Демократи,Демократи,≤100
66035312931,Zoran Zaev,Zoran Zaev,≤100
1503795079941246,Klubi i Debatit Politik - KDP.MK,Klubi i Debatit Politik - KDP,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
100954761298205,frontline.mk,frontline.mk,≤100
1677572455714659,Јорго Огненовски,Демократи,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
246002113970244,Bekim Sali,Alternativa,≤100
149032011830930,Centar.mk,Centar.mk,≤100
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
109452208789335,Трн.мк,Трн.мк,≤100
112561468766391,Qendra për Mirëkuptim dhe Bashkëpunim Institucional,These ads ran without a disclaimer,≤100
