Page ID,Page name,Disclaimer,Amount spent (JPY)
108228632202066,日本維新の会の「若松尚利」 秋田市の選挙,Naotoshi Wakamatsu,3534
104367261609980,飯牟礼克年（いいむれ かつとし）後援会,Katsutoshi Iimure,3275
1904070096535109,スマート選挙,株式会社センキョ,1227
197770137236410,日本維新の会,日本維新の会,678
651455718373362,ハイクラスに特化した転職支援『転機』,These ads ran without a disclaimer,537
475681929154100,国連UNHCR協会,国連UNHCR協会,111
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,≤100
450923665041182,めちゃコミック（めちゃコミ）,These ads ran without a disclaimer,≤100
738107079610782,Yomjom,These ads ran without a disclaimer,≤100
103914976352692,選挙ドットコム,イチニ株式会社,≤100
341085439782585,富田けんじ（立憲民主党＠練馬）,Kenji Tomita,≤100
100687931838617,工務店ミュージアム,These ads ran without a disclaimer,≤100
195891890545160,株式会社　菅原工務店,These ads ran without a disclaimer,≤100
651801698258818,NewsTV,NewsTV,≤100
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,≤100
1407941346087379,自民党遊説局,自民党遊説局,≤100
107190895491621,大富豪の投資術 Investment College,These ads ran without a disclaimer,≤100
1454796194806512,文京区議会議員 海津 敦子 かいづあつこ,海津敦子,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
676655469036670,松下政経塾,松下政経塾,≤100
1328197543934933,手話フレンズ,These ads ran without a disclaimer,≤100
417070411688022,新日本法規出版,These ads ran without a disclaimer,≤100
