Page ID,Page name,Disclaimer,Amount spent (LBP)
1428873024044736,المدن - almodon,المدن - almodon‎,89552
101195012850076,مبادرة الدولة الديمقراطية الواحدة,مبادرة الدولة الديمقراطية الواحدة,59701
106197498149118,لبنان الكبير,Grand Lebanon,44776
102023711572671,أساس ميديا -  Asas Media,asasmedia,29851
1438703606372190,Elham Said Freiha,Elham Freiha,29851
110470091436602,Ici Beyrouth,Ici beyrouth,17164
1744356319118477,هنا لبنان,هنا لبنان,14925
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,14925
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,10149
164472683608068,Act for the Disappeared,ACT for the Disappeared,≤100
107698404702208,Alkalima,Alkalima Onlime,≤100
918400448287038,Janoubia News جنوبية نيوز,These ads ran without a disclaimer,≤100
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,≤100
104154192025759,Roland Mokheiber - رولان مخيبر,رولان مخيبر,≤100
104093387800328,مركز بيروت للاخبار,مركز بيروت للاخبار,≤100
106821968055687,Leila Dagher,Leila Dagher,≤100
109112633772887,180post,180Post,≤100
580979592072016,بوابة اللاجئين الفلسطينيين,These ads ran without a disclaimer,≤100
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,≤100
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100
107800617419717,MYKA Foundation,Elie M. ElHelou,≤100
