Page ID,Page name,Disclaimer,Amount spent (SAR)
101266249141558,هيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,هيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,≤100
100164376198872,ঊম্মাহ-Ummah,These ads ran without a disclaimer,≤100
109661490564057,وظائف اليوم,These ads ran without a disclaimer,≤100
110020628668652,PPXTrade,These ads ran without a disclaimer,≤100
177373618970635,نادي سباق الخيل,These ads ran without a disclaimer,≤100
423670114403144,Trending in China,These ads ran without a disclaimer,≤100
148788988477345,The National,These ads ran without a disclaimer,≤100
132819526758532,Siemens Healthineers,These ads ran without a disclaimer,≤100
103305932088,Aramex,These ads ran without a disclaimer,≤100
115818994779046,,These ads ran without a disclaimer,≤100
835879739787640,Endurance Lifestyle,These ads ran without a disclaimer,≤100
