Page ID,Page name,Disclaimer,Amount spent (VND)
109243288606367,Lương Y Phạm Văn Thanh Đặc Trị Đái Tháo Đường Mỡ Máu 0378.419.301,These ads ran without a disclaimer,105304
101478189323986,Thầy Phạm Văn Thanh Lào Cai,These ads ran without a disclaimer,83538
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,61924
101306269592181,Đầu Tư Phát Triển Tư Duy,These ads ran without a disclaimer,46979
105889048892532,Phạm Văn Thanh- Đặc Trị Tiểu Đường,These ads ran without a disclaimer,38485
858205190939265,Công Ty Cổ Phần Dược Phẩm TV.PHARM,These ads ran without a disclaimer,10336
100613984870990,Bệnh Viện Phụ Sản Thiện An,These ads ran without a disclaimer,8084
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,7516
101557466019224,Lương Y Phạm Văn Thanh - Trang Chủ,These ads ran without a disclaimer,7464
121721420925539,Tổng Kho Trưởng Ky Quang Huy,These ads ran without a disclaimer,2076
101216226075087,Enter News,These ads ran without a disclaimer,836
117467188007462,Vương Tới Tầm Cao VTB,These ads ran without a disclaimer,612
109450285323109,Triệu Trưởng - Hà Nội Ford,These ads ran without a disclaimer,400
101831049362526,Trần Gỗ Tự Nhiên,These ads ran without a disclaimer,104
140924759399774,Key Means for Kids: Tiếng Anh Online Trẻ Em,These ads ran without a disclaimer,≤100
103259172532247,Bluestona Smart,These ads ran without a disclaimer,≤100
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
107477781437035,Tổng Kho Kệ TiVi Vách Ngăn Luxury,These ads ran without a disclaimer,≤100
