Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
482198868521917,Asot Michael,Asot A. Michael,2246,23
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),599,31
486723854867439,MYUPP,United Progressive Party,518,8
203239449860143,Harold Lovell,United Progressive Party,478,5
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),362,19
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,267,1
434709106604434,Progressive Youth,United Progressive Party,103,1
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,1
128330884625097,Johnathan Joseph,United Progressive Party,≤100,1
44846920403,Dean,Athill Dean Jonas,≤100,5
100468518387019,St Johns City West,United Progressive Party,≤100,1
105826391202074,Pearl Quinn-Williams,United Progressive Party,≤100,1
116032046892777,UPP All Saints East and St. Luke's Constituency Branch,United Progressive Party,≤100,1
100466735989236,Kisean 'Brother Joe' Joseph,Kisean 'Brother Joe' Joseph,≤100,1
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,4
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100,4
354192254667229,Antigua Barbuda Workers Union,Antigua & Barbuda Workers Union,≤100,1
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100,1
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,2
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,2
