Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
117352551390847,DQS: SEAT of POWER,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,2
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,3
147710335240518,Eindhovens Dagblad,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
102556029420226,Okie Girl Brands,These ads ran without a disclaimer,≤100,1
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,1
115191378595924,Deputado Marçal Filho,These ads ran without a disclaimer,≤100,1
