Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,131
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,112
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,104
La Libertad Region,159
Lambayeque Region,116
Lima Region,1080
Loreto Region,260
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,199
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
