Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
486723854867439,MYUPP,United Progressive Party,≤100,1
620112028325862,Hon Jamale Pringle - Leader of the Opposition,United Progressive Party,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,1
103857448157674,Michael M. Joseph,Michael M. Joseph,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,2
253772961315048,Mercury Mosaics,These ads ran without a disclaimer,≤100,1
10606591490,TIME,These ads ran without a disclaimer,≤100,2
