Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
111143051864325,"Honourable Georges Pierre Lesjongard, MP","Honourable Georges Pierre Lesjongard, MP",≤100,2
104083225141474,Rassemblement Mauricien,Sita Jeeneea-Saminaden,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
103758944688614,boarderchik87,These ads ran without a disclaimer,≤100,1
102686865603014,Dr Nunkoo Vikram,Vikram Nunkoo,≤100,1
114496691584484,Dre2644-Novels,These ads ran without a disclaimer,≤100,2
333426070147135,Benny Kuriakose Associates,These ads ran without a disclaimer,≤100,2
103709948242540,Apostle Eklyn Ministries,These ads ran without a disclaimer,≤100,1
116310878056949,Mandy Wong Chatgpt,These ads ran without a disclaimer,≤100,1
118945884467733,Dre4628-MeReading,These ads ran without a disclaimer,≤100,1
110969788607678,Dre8655-Stories,These ads ran without a disclaimer,≤100,1
116126484753041,Dre7566-Stories,These ads ran without a disclaimer,≤100,2
462848513792011,国家大剧院National Centre for the Performing Arts,These ads ran without a disclaimer,≤100,1
107659855588990,Dre5915-MeReading,These ads ran without a disclaimer,≤100,2
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100,3
