Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,1553
Cerro Largo Department,≤100
Colonia Department,628
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,1325
Montevideo Department,8383
Paysandú Department,≤100
Rivera Department,488
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
