Location name,Amount spent (TRY)
Adana Province,335
Adıyaman Province,≤100
Afyonkarahisar Province,186
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,596
Antalya Province,478
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,209
Ağrı Province,≤100
Balıkesir Province,145
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,229
Denizli Province,≤100
Diyarbakır Province,≤100
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,≤100
Gaziantep Province,125
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,141
Isparta Province,≤100
Istanbul Province,3043
Iğdır Province,≤100
Kahramanmaraş Province,≤100
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,≤100
Kilis Province,≤100
Kocaeli Province,114
Konya Province,112
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,225
Mardin Province,≤100
Mersin Province,147
Muğla Province,≤100
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,213
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,≤100
Tokat Province,≤100
Trabzon Province,110
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,634
Şanlıurfa Province,≤100
Şırnak Province,≤100
