Location name,Amount spent (EUR)
Anenii Noi District,≤100
Basarabeasca District,≤100
Bender,≤100
Briceni District,≤100
Bălți,257
Cahul District,123
Cantemir District,≤100
Chișinău,1661
Cimișlia District,≤100
Criuleni District,≤100
Călărași District,≤100
Căușeni District,≤100
Dondușeni District,≤100
Drochia District,≤100
Dubăsari District,≤100
Edineț District,≤100
Florești District,≤100
Fălești District,≤100
Gagauzia,130
Glodeni District,≤100
Hîncești District,≤100
Ialoveni District,106
Leova District,≤100
Nisporeni District,≤100
Ocnița District,≤100
Orhei District,122
Rezina District,≤100
Rîșcani District,≤100
Soroca District,≤100
Strășeni District,≤100
Sîngerei District,≤100
Taraclia District,≤100
Telenești District,≤100
Transnistria,246
Ungheni District,117
Unknown,≤100
Șoldănești District,≤100
Ștefan Vodă District,≤100
