Location name,Amount spent (USD)
Adjumani District,≤100
Arua District,≤100
Bushenyi District,≤100
Gulu District,≤100
Iganga District,≤100
Jinja District,≤100
Kabale District,≤100
Kabarole District,≤100
Kampala District,≤100
Kasese District,≤100
Kayunga District,≤100
Luwero District,≤100
Maracha District,≤100
Masaka District,≤100
Masindi District,≤100
Mbale District,≤100
Mbarara District,≤100
Moyo District,≤100
Mubende District,≤100
Mukono District,≤100
Nakaseke District,≤100
Pader District,≤100
Wakiso District,≤100
Yumbe District,≤100
