Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,≤100
Ayacucho Region,≤100
Cajamarca Region,123
Callao,≤100
Cusco Region,123
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,≤100
La Libertad Region,469
Lambayeque Region,≤100
Lima Region,933
Loreto Region,150
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,129
Puno Region,107
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
