Location name,Amount spent (GTQ)
Alta Verapaz Department,≤100
Baja Verapaz Department,≤100
Chimaltenango Department,403
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,≤100
Guatemala Department,1847
Huehuetenango Department,≤100
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,≤100
Quiché Department,≤100
Retalhuleu Department,≤100
Sacatepéquez Department,≤100
San Marcos Department,169
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,180
Totonicapán Department,≤100
Zacapa Department,≤100
