Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,196
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,104
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,120
Junín Region,≤100
La Libertad Region,199
Lambayeque Region,102
Lima Region,2052
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,≤100
Puno Region,115
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
