Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),≤100,5
486723854867439,MYUPP,United Progressive Party,≤100,2
203239449860143,Harold Lovell,United Progressive Party,≤100,2
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100,5
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,2
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,1
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
109821937389012,Jahmaal A. Frederick,Jahmaal Frederick,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,2
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
112794927146269,Anern Solar Street Light & Solar Power System,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,5
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,4
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
293389669120488,Blushing Brides,These ads ran without a disclaimer,≤100,1
