Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,104
Berane Municipality,≤100
Bijelo Polje Municipality,125
Budva Municipality,126
Danilovgrad Municipality,≤100
Herceg Novi Municipality,≤100
Kolašin Municipality,≤100
Nikšić Municipality,204
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,≤100
Plužine Municipality,≤100
Podgorica Capital City,739
Rožaje Municipality,≤100
Tivat Municipality,110
Ulcinj Municipality,128
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
