Page ID,Page name,Disclaimer,Amount spent (BSD),Number of ads in Library
114606549484,Philip Brave Davis,The Office of The Prime Minister Bahamas,345,3
1025152104235573,Team Cooper - Chester Cooper,Isaac Chester Cooper,≤100,1
110510071864172,"Deputy Prime Minister of The Bahamas, Chester Cooper","Deputy Prime Minister of The Bahamas, Chester Cooper",≤100,2
108786101365665,Senator Maxine Seymour,Maxine Valarie Seymour,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
