Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1663913513914881,English Cameroon for a United Cameroon,Cyril Chu Fubin Kumachang,≤100,1
101079809576012,KAMA NA MUNU,These ads ran without a disclaimer,≤100,1
104665042361779,Gouverneur Nasrallah officiel,These ads ran without a disclaimer,≤100,1
107996315091233,月旦港事,These ads ran without a disclaimer,≤100,2
633442413953268,Dr. Moses Raphael PhD,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
111698038492991,Je Vis Sans Honte,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
351671375760473,The GCCA,These ads ran without a disclaimer,≤100,1
562471887119419,DHL Africa,These ads ran without a disclaimer,≤100,2
101010421461159,Delyanne The Money Coach LLC,These ads ran without a disclaimer,≤100,1
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,3
