Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),≤100,4
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100,4
486723854867439,MYUPP,United Progressive Party,≤100,10
434709106604434,Progressive Youth,United Progressive Party,≤100,1
203239449860143,Harold Lovell,United Progressive Party,≤100,1
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,2
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,3
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
109821937389012,Jahmaal A. Frederick,Jahmaal Frederick,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,1
141289332596921,PECB,These ads ran without a disclaimer,≤100,1
112794927146269,Anern Solar Street Light & Solar Power System,These ads ran without a disclaimer,≤100,1
