Location name,Amount spent (USD)
Azua Province,≤100
Baoruco Province,≤100
Barahona Province,≤100
Dajabón Province,≤100
Distrito Nacional,221
Duarte Province,≤100
El Seibo Province,≤100
Elías Piña Province,≤100
Espaillat Province,≤100
Hato Mayor Province,≤100
Independencia Province,≤100
La Altagracia Province,≤100
La Romana Province,≤100
La Vega Province,≤100
María Trinidad Sánchez Province,≤100
Monseñor Nouel Province,≤100
Monte Cristi Province,≤100
Monte Plata Province,≤100
Pedernales Province,≤100
Peravia Province,≤100
Puerto Plata province,≤100
Salcedo,≤100
Samaná Province,≤100
San Cristóbal Province,≤100
San José de Ocoa Province,≤100
San Juan Province (Dominican Republic),≤100
San Pedro de Macorís Province,≤100
Santiago Province,108
Santiago Rodríguez Province,≤100
Santo Domingo Province,125
Sánchez Ramírez Province,≤100
Unknown,≤100
Valverde Province,≤100
