Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,1
1991495041106641,Teaching English with Cambridge,These ads ran without a disclaimer,≤100,1
108474284990913,awcdubai,These ads ran without a disclaimer,≤100,1
148788988477345,The National,These ads ran without a disclaimer,≤100,1
101657101789336,مركز أبوظبي للغة العربية -Abu Dhabi Arabic Language Centre,These ads ran without a disclaimer,≤100,1
207716982590230,Cipla,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,1
1718014475112870,Africa Legal,These ads ran without a disclaimer,≤100,1
104766884264496,Dakini Translations and Publications,These ads ran without a disclaimer,≤100,1
1748969242086378,The Chinese University of Hong Kong 香港中文大學 - CUHK,These ads ran without a disclaimer,≤100,2
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,2
368757963825913,WasteFuel,These ads ran without a disclaimer,≤100,1
101651249502316,The FIFA,These ads ran without a disclaimer,≤100,1
202225953152762,Yomeanimo,These ads ran without a disclaimer,≤100,1
553737021364990,The Nation's Christ-based Leader/Healing & Wholeness,These ads ran without a disclaimer,≤100,1
299737907470435,Zendy,These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,16
108192918298788,Vernekar's in America,These ads ran without a disclaimer,≤100,1
114797118561022,Breda University of Applied Sciences,These ads ran without a disclaimer,≤100,2
