Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,161
Apurímac Region,≤100
Arequipa Region,136
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,113
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,≤100
La Libertad Region,118
Lambayeque Region,≤100
Lima Region,6722
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,102
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
