Location name,Amount spent (USD)
Al Anbar Governorate,115
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,406
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,113
Erbil Governorate,306
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,174
Saladin Governorate,≤100
Sulaymaniyah Governorate,240
Unknown,≤100
Wasit Governorate,≤100
