Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
104304855324448,Saudi Arabia's Reality,These ads ran without a disclaimer,≤100,1
106366418121233,Australia Awards Philippines,These ads ran without a disclaimer,≤100,1
114797118561022,Breda University of Applied Sciences,These ads ran without a disclaimer,≤100,1
112280165067517,Naturefoodnerd,These ads ran without a disclaimer,≤100,1
101220519492,Good News from Finland,These ads ran without a disclaimer,≤100,1
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,1
131169181232,VOGUE JAPAN,These ads ran without a disclaimer,≤100,2
316496640057,7iber,These ads ran without a disclaimer,≤100,1
136428433091172,Tv5monde Asie Pacifique,These ads ran without a disclaimer,≤100,1
