Location name,Amount spent (TRY)
Adana Province,337
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,678
Antalya Province,1184
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,≤100
Ağrı Province,≤100
Balıkesir Province,118
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,336
Denizli Province,≤100
Diyarbakır Province,≤100
Düzce Province,≤100
Edirne Province,107
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,≤100
Gaziantep Province,136
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,206
Isparta Province,≤100
Istanbul Province,2261
Iğdır Province,≤100
Kahramanmaraş Province,105
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,172
Kilis Province,≤100
Kocaeli Province,112
Konya Province,163
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,347
Mardin Province,≤100
Mersin Province,208
Muğla Province,≤100
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,250
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,157
Tokat Province,≤100
Trabzon Province,≤100
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,159
Zonguldak Province,≤100
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,780
Şanlıurfa Province,≤100
Şırnak Province,≤100
