Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
675823195926658,Get Rid Ah Dem,Get Rid Ah Dem,≤100,2
335129206031,New Democratic Party,New Democratic Party,≤100,2
170042611753,American University of Antigua,These ads ran without a disclaimer,≤100,1
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
101998658413144,Black Streak Anime,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
103817271891371,Diana Ramos,These ads ran without a disclaimer,≤100,1
100339112933404,Baga1402_04,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
