Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),310,11
486723854867439,MYUPP,United Progressive Party,233,5
203239449860143,Harold Lovell,United Progressive Party,194,4
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),189,10
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,2
128330884625097,Johnathan Joseph,United Progressive Party,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,5
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
44846920403,Dean,Athill Dean Jonas,≤100,1
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,5
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,1
135799599823455,Arboricultural Association,These ads ran without a disclaimer,≤100,2
319739671441859,Floripa Mil Grau,These ads ran without a disclaimer,≤100,1
105648402241230,Join the dots,These ads ran without a disclaimer,≤100,1
