Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,120
Apurímac Region,≤100
Arequipa Region,102
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,180
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,144
Junín Region,≤100
La Libertad Region,225
Lambayeque Region,125
Lima Region,1141
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,244
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
