Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),321,13
486723854867439,MYUPP,United Progressive Party,269,4
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),141,9
203239449860143,Harold Lovell,United Progressive Party,126,4
434709106604434,Progressive Youth,United Progressive Party,111,1
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,2
44846920403,Dean,Athill Dean Jonas,≤100,3
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,4
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,3
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
