Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,1614,2
225968600759645,Andrés Lima,Andrés Lima,452,5
339506493370193,Richard Sander,Richard Sander,390,2
682047678477157,Intendencia de Maldonado,Intendencia de Maldonado,316,1
2332750643467917,Yamandú Costa,Espacio 2040,259,1
530640683655093,President,These ads ran without a disclaimer,188,3
107680212029365,Todos Por Río Negro,Todos Por Río Negro,112,1
287677194603697,Nuevo Espacio Frente Amplio,Nuevo Espacio,103,1
102337244995366,Prudencia Uruguay,Prudencia Uruguay,≤100,1
109342627350805,Rosauro San Román,Rosauro San Román,≤100,1
108259318940861,TD_Ln2_Cuidado Cariñoso,These ads ran without a disclaimer,≤100,1
113224571601559,Lectura obligada,These ads ran without a disclaimer,≤100,2
106170864917317,Aprende y emprende con tus manos,These ads ran without a disclaimer,≤100,2
103736139244309,Coach Mercedez Lerne,These ads ran without a disclaimer,≤100,1
106375945766381,Los amo a todos.KK,These ads ran without a disclaimer,≤100,1
104762075732099,Fany Pineda,These ads ran without a disclaimer,≤100,1
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100,1
109226351931340,Jimena Gonzalez,These ads ran without a disclaimer,≤100,2
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
106950715510480,Luciana Ponce,These ads ran without a disclaimer,≤100,1
