Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
112477522422248,David Collado,David Collado,217,2
123397997671209,Listín Diario,Alejandro Jose Madera Rodriguez,≤100,2
100151225919146,Homero Figueroa G,Le Black Room,≤100,2
708959485865189,Elias Baez,Elias Baez De Los Santos,≤100,3
100441899588408,Partido Renovador Reformista PRR,Paritdo Renovador Reformista,≤100,2
106687624223989,Rescate Democratico,Rescate Democratico,≤100,2
339085486274571,Alexis Victoria Yeb,Alexis Victoria Yeb,≤100,1
492966110748093,Su Mundo TV,Penelope Canario Herrera,≤100,25
828915397147051,Autoridad Portuaria Dominicana,Autoridad Portuaria Dominicana,≤100,1
321083414699132,Antonio Taveras Guzmán,Antonio Taveras,≤100,2
430008757208257,Dr. Iván Silva,Ivan Jose Silva Fernandez,≤100,1
109463048555069,Jhovanny Leyba,Jhovanny Leyba,≤100,2
909697169178219,Miguel Saviñon - Alcalde de la Victoria 2024-2028,Angel Heredia Martínez,≤100,2
1617120828505305,Roberto Rodriguez,Roberto Rodriguez,≤100,1
532600796858736,Jean Luis Rodriguez,Jean Luis Rodriguez Jimenez,≤100,1
1318242741564289,Randy Santana,Randy Willian Santana Feliz,≤100,2
343332145805907,eltiempo.com.do,Catherine Martinez Diaz,≤100,3
123391448284422,Alcaldia Salcedo,Pedro Raul Diloné Brito,≤100,1
107615168801612,"Domingo Paredes, Un Regidor Para Todos, 2024-2028",Angel Heredia Martinez,≤100,2
383834305680811,Sandro Sanchez Diputado,Jesus Manuel Sanchez Martinez,≤100,3
102246344552738,Dr. Virgilio Cedano,Maviews,≤100,2
1426608844287625,BavaroNews,Catherine Martinez Diaz,≤100,1
401144539898661,Fondo Marena,Nicolás Enrique Grullón Ubinas,≤100,1
105672461149444,Mateo Espaillat,Mateo Evangelista Espaillat Tavarez,≤100,1
384585075208423,Alcaldía de Higüey,Joel Rijo Benzo,≤100,1
105459414464989,El Asesor,Adder Hay Borrome Rodriguez,≤100,1
106316724679424,Distrito Educativo 15-02,Oscar Feliz,≤100,1
465691517186469,Noticias Nacionales RD,Angel Miguel Rivera Rijo,≤100,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
101801685891012,Revista Knowable,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
100753689435177,medicapreta,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
2018068638421522,Manteco,These ads ran without a disclaimer,≤100,1
