Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102125944804499,AFD agence,These ads ran without a disclaimer,≤100,2
106716148100181,Tchagnaou Koubouratou,These ads ran without a disclaimer,≤100,1
104716391221637,CHRIS -M Travel,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,3
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
98876727842,Cummins Inc,These ads ran without a disclaimer,≤100,1
101172741706127,ZPMC,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
103789762224168,Xender emmanuel the  Internet Analyst,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,1
100100416284085,Js_m4,These ads ran without a disclaimer,≤100,1
