Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,453
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,186
Erbil Governorate,464
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,121
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,158
Nineveh Governorate,166
Saladin Governorate,≤100
Sulaymaniyah Governorate,1015
Unknown,≤100
Wasit Governorate,≤100
